r         ur            utheta            w
 2.00000 -0.0000055844 0.0000000000 -0.0000000000 
 2.01201 -0.0000056517 0.0000000000 -0.0000000000 
 2.02402 -0.0000057193 0.0000000000 -0.0000000000 
 2.03604 -0.0000057874 0.0000000000 -0.0000000000 
 2.04805 -0.0000058559 0.0000000000 -0.0000000000 
 2.06006 -0.0000059248 0.0000000000 -0.0000000000 
 2.07207 -0.0000059941 0.0000000000 -0.0000000000 
 2.08408 -0.0000060638 0.0000000000 -0.0000000000 
 2.09610 -0.0000061339 0.0000000000 -0.0000000000 
 2.10811 -0.0000062044 0.0000000000 -0.0000000000 
 2.12012 -0.0000062753 0.0000000000 -0.0000000000 
 2.13213 -0.0000063466 0.0000000000 -0.0000000000 
 2.14414 -0.0000064183 0.0000000000 -0.0000000000 
 2.15616 -0.0000064905 0.0000000000 -0.0000000000 
 2.16817 -0.0000065630 0.0000000000 -0.0000000000 
 2.18018 -0.0000066359 0.0000000000 -0.0000000000 
 2.19219 -0.0000067092 0.0000000000 -0.0000000000 
 2.20420 -0.0000067830 0.0000000000 -0.0000000000 
 2.21622 -0.0000068571 0.0000000000 -0.0000000000 
 2.22823 -0.0000069316 0.0000000000 -0.0000000000 
 2.24024 -0.0000070066 0.0000000000 -0.0000000000 
 2.25225 -0.0000070819 0.0000000000 -0.0000000000 
 2.26426 -0.0000071576 0.0000000000 -0.0000000000 
 2.27628 -0.0000072338 0.0000000000 -0.0000000000 
 2.28829 -0.0000073103 0.0000000000 -0.0000000000 
 2.30030 -0.0000073873 0.0000000000 -0.0000000000 
 2.31231 -0.0000074646 0.0000000000 -0.0000000000 
 2.32432 -0.0000075424 0.0000000000 -0.0000000000 
 2.33634 -0.0000076205 0.0000000000 -0.0000000000 
 2.34835 -0.0000076991 0.0000000000 -0.0000000000 
 2.36036 -0.0000077781 0.0000000000 -0.0000000000 
 2.37237 -0.0000078574 0.0000000000 -0.0000000000 
 2.38438 -0.0000079372 0.0000000000 -0.0000000000 
 2.39640 -0.0000080174 0.0000000000 -0.0000000000 
 2.40841 -0.0000080980 0.0000000000 -0.0000000000 
 2.42042 -0.0000081789 0.0000000000 -0.0000000000 
 2.43243 -0.0000082603 0.0000000000 -0.0000000000 
 2.44444 -0.0000083421 0.0000000000 -0.0000000000 
 2.45646 -0.0000084243 0.0000000000 -0.0000000000 
 2.46847 -0.0000085069 0.0000000000 -0.0000000000 
 2.48048 -0.0000085899 0.0000000000 -0.0000000000 
 2.49249 -0.0000086733 0.0000000000 -0.0000000000 
 2.50450 -0.0000087571 0.0000000000 -0.0000000000 
 2.51652 -0.0000088413 0.0000000000 -0.0000000000 
 2.52853 -0.0000089259 0.0000000000 -0.0000000000 
 2.54054 -0.0000090109 0.0000000000 -0.0000000000 
 2.55255 -0.0000090963 0.0000000000 -0.0000000000 
 2.56456 -0.0000091821 0.0000000000 -0.0000000000 
 2.57658 -0.0000092683 0.0000000000 -0.0000000000 
 2.58859 -0.0000093549 0.0000000000 -0.0000000000 
 2.60060 -0.0000094420 0.0000000000 -0.0000000000 
 2.61261 -0.0000095294 0.0000000000 -0.0000000000 
 2.62462 -0.0000096172 0.0000000000 -0.0000000000 
 2.63664 -0.0000097055 0.0000000000 -0.0000000000 
 2.64865 -0.0000097941 0.0000000000 -0.0000000000 
 2.66066 -0.0000098831 0.0000000000 -0.0000000000 
 2.67267 -0.0000099726 0.0000000000 -0.0000000000 
 2.68468 -0.0000100624 0.0000000000 -0.0000000000 
 2.69670 -0.0000101526 0.0000000000 -0.0000000000 
 2.70871 -0.0000102433 0.0000000000 -0.0000000000 
 2.72072 -0.0000103343 0.0000000000 -0.0000000000 
 2.73273 -0.0000104258 0.0000000000 -0.0000000000 
 2.74474 -0.0000105177 0.0000000000 -0.0000000000 
 2.75676 -0.0000106099 0.0000000000 -0.0000000000 
 2.76877 -0.0000107026 0.0000000000 -0.0000000000 
 2.78078 -0.0000107956 0.0000000000 -0.0000000000 
 2.79279 -0.0000108891 0.0000000000 -0.0000000000 
 2.80480 -0.0000109830 0.0000000000 -0.0000000000 
 2.81682 -0.0000110773 0.0000000000 -0.0000000000 
 2.82883 -0.0000111719 0.0000000000 -0.0000000000 
 2.84084 -0.0000112670 0.0000000000 -0.0000000000 
 2.85285 -0.0000113625 0.0000000000 -0.0000000000 
 2.86486 -0.0000114584 0.0000000000 -0.0000000000 
 2.87688 -0.0000115547 0.0000000000 -0.0000000000 
 2.88889 -0.0000116514 0.0000000000 -0.0000000000 
 2.90090 -0.0000117485 0.0000000000 -0.0000000000 
 2.91291 -0.0000118460 0.0000000000 -0.0000000000 
 2.92492 -0.0000119439 0.0000000000 -0.0000000000 
 2.93694 -0.0000120422 0.0000000000 -0.0000000000 
 2.94895 -0.0000121409 0.0000000000 -0.0000000000 
 2.96096 -0.0000122400 0.0000000000 -0.0000000000 
 2.97297 -0.0000123395 0.0000000000 -0.0000000000 
