r         sigmar      sigmatheta   sigmaz  taurtheta    taurz    tauthetaz
 2.00000  -0.000000  -0.000000   0.663146   0.000000   0.000000   0.000000 
 2.01201  -0.000000  -0.000000   0.667128   0.000000  -0.000000   0.000000 
 2.02402  -0.000000  -0.000000   0.671111   0.000000  -0.000000   0.000000 
 2.03604  -0.000000  -0.000000   0.675094   0.000000  -0.000000   0.000000 
 2.04805  -0.000000  -0.000000   0.679077   0.000000  -0.000000   0.000000 
 2.06006  -0.000000  -0.000000   0.683060   0.000000  -0.000000   0.000000 
 2.07207  -0.000000  -0.000000   0.687043   0.000000  -0.000000   0.000000 
 2.08408  -0.000000  -0.000000   0.691026   0.000000  -0.000000   0.000000 
 2.09610  -0.000000  -0.000000   0.695008   0.000000  -0.000000   0.000000 
 2.10811  -0.000000  -0.000000   0.698991   0.000000  -0.000000   0.000000 
 2.12012  -0.000000  -0.000000   0.702974   0.000000  -0.000000   0.000000 
 2.13213  -0.000000  -0.000000   0.706957   0.000000  -0.000000   0.000000 
 2.14414  -0.000000  -0.000000   0.710940   0.000000  -0.000000   0.000000 
 2.15616  -0.000000  -0.000000   0.714923   0.000000  -0.000000   0.000000 
 2.16817  -0.000000  -0.000000   0.718906   0.000000  -0.000000   0.000000 
 2.18018  -0.000000  -0.000000   0.722888   0.000000  -0.000000   0.000000 
 2.19219  -0.000000  -0.000000   0.726871   0.000000  -0.000000   0.000000 
 2.20420  -0.000000  -0.000000   0.730854   0.000000  -0.000000   0.000000 
 2.21622  -0.000000  -0.000000   0.734837   0.000000  -0.000000   0.000000 
 2.22823  -0.000000  -0.000000   0.738820   0.000000  -0.000000   0.000000 
 2.24024  -0.000000  -0.000000   0.742803   0.000000  -0.000000   0.000000 
 2.25225  -0.000000  -0.000000   0.746786   0.000000  -0.000000   0.000000 
 2.26426  -0.000000  -0.000000   0.750768   0.000000  -0.000000   0.000000 
 2.27628  -0.000000  -0.000000   0.754751   0.000000  -0.000000   0.000000 
 2.28829  -0.000000  -0.000000   0.758734   0.000000  -0.000000   0.000000 
 2.30030  -0.000000  -0.000000   0.762717   0.000000  -0.000000   0.000000 
 2.31231  -0.000000  -0.000000   0.766700   0.000000  -0.000000   0.000000 
