r         ur            utheta            w
2000.00000 -0.0000063502 0.0000000000 -0.0000000000 
2012.01201 -0.0000064191 0.0000000000 -0.0000000000 
2024.02402 -0.0000064899 0.0000000000 -0.0000000000 
2036.03604 -0.0000065624 0.0000000000 -0.0000000000 
2048.04805 -0.0000066366 0.0000000000 -0.0000000000 
2060.06006 -0.0000067125 0.0000000000 -0.0000000000 
2072.07207 -0.0000067901 0.0000000000 -0.0000000000 
2084.08408 -0.0000068694 0.0000000000 -0.0000000000 
2096.09610 -0.0000069503 0.0000000000 -0.0000000000 
2108.10811 -0.0000070328 0.0000000000 -0.0000000000 
2120.12012 -0.0000071170 0.0000000000 -0.0000000000 
2132.13213 -0.0000072027 0.0000000000 -0.0000000000 
2144.14414 -0.0000072901 0.0000000000 -0.0000000000 
2156.15616 -0.0000073789 0.0000000000 -0.0000000000 
2168.16817 -0.0000074694 0.0000000000 -0.0000000000 
2180.18018 -0.0000075613 0.0000000000 -0.0000000000 
2192.19219 -0.0000076548 0.0000000000 -0.0000000000 
2204.20420 -0.0000077497 0.0000000000 -0.0000000000 
2216.21622 -0.0000078462 0.0000000000 -0.0000000000 
2228.22823 -0.0000079441 0.0000000000 -0.0000000000 
2240.24024 -0.0000080435 0.0000000000 -0.0000000000 
2252.25225 -0.0000081443 0.0000000000 -0.0000000000 
2264.26426 -0.0000082466 0.0000000000 -0.0000000000 
2276.27628 -0.0000083502 0.0000000000 -0.0000000000 
2288.28829 -0.0000084553 0.0000000000 -0.0000000000 
2300.30030 -0.0000085618 0.0000000000 -0.0000000000 
2312.31231 -0.0000086697 0.0000000000 -0.0000000000 
2324.32432 -0.0000087789 0.0000000000 -0.0000000000 
2336.33634 -0.0000088895 0.0000000000 -0.0000000000 
2348.34835 -0.0000090015 0.0000000000 -0.0000000000 
2360.36036 -0.0000091148 0.0000000000 -0.0000000000 
2372.37237 -0.0000092294 0.0000000000 -0.0000000000 
2384.38438 -0.0000093454 0.0000000000 -0.0000000000 
2396.39640 -0.0000094626 0.0000000000 -0.0000000000 
2408.40841 -0.0000095812 0.0000000000 -0.0000000000 
2420.42042 -0.0000097011 0.0000000000 -0.0000000000 
2432.43243 -0.0000098223 0.0000000000 -0.0000000000 
2444.44444 -0.0000099447 0.0000000000 -0.0000000000 
2456.45646 -0.0000100685 0.0000000000 -0.0000000000 
2468.46847 -0.0000101935 0.0000000000 -0.0000000000 
2480.48048 -0.0000103197 0.0000000000 -0.0000000000 
2492.49249 -0.0000104473 0.0000000000 -0.0000000000 
2504.50450 -0.0000105760 0.0000000000 -0.0000000000 
2516.51652 -0.0000107060 0.0000000000 -0.0000000000 
2528.52853 -0.0000108372 0.0000000000 -0.0000000000 
2540.54054 -0.0000109697 0.0000000000 -0.0000000000 
2552.55255 -0.0000111033 0.0000000000 -0.0000000000 
2564.56456 -0.0000112382 0.0000000000 -0.0000000000 
2576.57658 -0.0000113743 0.0000000000 -0.0000000000 
2588.58859 -0.0000115116 0.0000000000 -0.0000000000 
2600.60060 -0.0000116500 0.0000000000 -0.0000000000 
2612.61261 -0.0000117897 0.0000000000 -0.0000000000 
2624.62462 -0.0000119305 0.0000000000 -0.0000000000 
2636.63664 -0.0000120725 0.0000000000 -0.0000000000 
2648.64865 -0.0000122157 0.0000000000 -0.0000000000 
2660.66066 -0.0000123601 0.0000000000 -0.0000000000 
2672.67267 -0.0000125056 0.0000000000 -0.0000000000 
2684.68468 -0.0000126523 0.0000000000 -0.0000000000 
2696.69670 -0.0000128001 0.0000000000 -0.0000000000 
2708.70871 -0.0000129491 0.0000000000 -0.0000000000 
2720.72072 -0.0000130992 0.0000000000 -0.0000000000 
2732.73273 -0.0000132504 0.0000000000 -0.0000000000 
2744.74474 -0.0000134028 0.0000000000 -0.0000000000 
2756.75676 -0.0000135563 0.0000000000 -0.0000000000 
2768.76877 -0.0000137109 0.0000000000 -0.0000000000 
2780.78078 -0.0000138667 0.0000000000 -0.0000000000 
2792.79279 -0.0000140236 0.0000000000 -0.0000000000 
2804.80480 -0.0000141815 0.0000000000 -0.0000000000 
2816.81682 -0.0000143406 0.0000000000 -0.0000000000 
2828.82883 -0.0000145008 0.0000000000 -0.0000000000 
2840.84084 -0.0000146621 0.0000000000 -0.0000000000 
2852.85285 -0.0000148245 0.0000000000 -0.0000000000 
2864.86486 -0.0000149880 0.0000000000 -0.0000000000 
2876.87688 -0.0000151526 0.0000000000 -0.0000000000 
2888.88889 -0.0000153182 0.0000000000 -0.0000000000 
2900.90090 -0.0000154850 0.0000000000 -0.0000000000 
2912.91291 -0.0000156528 0.0000000000 -0.0000000000 
2924.92492 -0.0000158217 0.0000000000 -0.0000000000 
2936.93694 -0.0000159917 0.0000000000 -0.0000000000 
2948.94895 -0.0000161628 0.0000000000 -0.0000000000 
2960.96096 -0.0000163349 0.0000000000 -0.0000000000 
2972.97297 -0.0000165081 0.0000000000 -0.0000000000 
2984.98498 -0.0000166823 0.0000000000 -0.0000000000 
2996.99700 -0.0000168576 0.0000000000 -0.0000000000 
3009.00901 -0.0000170340 0.0000000000 -0.0000000000 
3021.02102 -0.0000172114 0.0000000000 -0.0000000000 
3033.03303 -0.0000173899 0.0000000000 -0.0000000000 
3045.04505 -0.0000175694 0.0000000000 -0.0000000000 
3057.05706 -0.0000177500 0.0000000000 -0.0000000000 
3069.06907 -0.0000179316 0.0000000000 -0.0000000000 
3081.08108 -0.0000181143 0.0000000000 -0.0000000000 
3093.09309 -0.0000182980 0.0000000000 -0.0000000000 
3105.10511 -0.0000184827 0.0000000000 -0.0000000000 
3117.11712 -0.0000186685 0.0000000000 -0.0000000000 
3129.12913 -0.0000188553 0.0000000000 -0.0000000000 
3141.14114 -0.0000190431 0.0000000000 -0.0000000000 
3153.15315 -0.0000192320 0.0000000000 -0.0000000000 
3165.16517 -0.0000194219 0.0000000000 -0.0000000000 
3177.17718 -0.0000196128 0.0000000000 -0.0000000000 
3189.18919 -0.0000198047 0.0000000000 -0.0000000000 
3201.20120 -0.0000199977 0.0000000000 -0.0000000000 
3213.21321 -0.0000201917 0.0000000000 -0.0000000000 
3225.22523 -0.0000203867 0.0000000000 -0.0000000000 
3237.23724 -0.0000205827 0.0000000000 -0.0000000000 
3249.24925 -0.0000207797 0.0000000000 -0.0000000000 
3261.26126 -0.0000209777 0.0000000000 -0.0000000000 
3273.27327 -0.0000211768 0.0000000000 -0.0000000000 
3285.28529 -0.0000213768 0.0000000000 -0.0000000000 
3297.29730 -0.0000215779 0.0000000000 -0.0000000000 
3309.30931 -0.0000217799 0.0000000000 -0.0000000000 
3321.32132 -0.0000219830 0.0000000000 -0.0000000000 
3333.33333 -0.0000221871 0.0000000000 -0.0000000000 
3345.34535 -0.0000223921 0.0000000000 -0.0000000000 
3357.35736 -0.0000225982 0.0000000000 -0.0000000000 
3369.36937 -0.0000228053 0.0000000000 -0.0000000000 
3381.38138 -0.0000230133 0.0000000000 -0.0000000000 
3393.39339 -0.0000232224 0.0000000000 -0.0000000000 
3405.40541 -0.0000234324 0.0000000000 -0.0000000000 
3417.41742 -0.0000236434 0.0000000000 -0.0000000000 
3429.42943 -0.0000238554 0.0000000000 -0.0000000000 
3441.44144 -0.0000240684 0.0000000000 -0.0000000000 
3453.45345 -0.0000242824 0.0000000000 -0.0000000000 
3465.46547 -0.0000244974 0.0000000000 -0.0000000000 
3477.47748 -0.0000247134 0.0000000000 -0.0000000000 
3489.48949 -0.0000249303 0.0000000000 -0.0000000000 
3501.50150 -0.0000251482 0.0000000000 -0.0000000000 
3513.51351 -0.0000253671 0.0000000000 -0.0000000000 
3525.52553 -0.0000255870 0.0000000000 -0.0000000000 
3537.53754 -0.0000258078 0.0000000000 -0.0000000000 
3549.54955 -0.0000260297 0.0000000000 -0.0000000000 
3561.56156 -0.0000262525 0.0000000000 -0.0000000000 
3573.57357 -0.0000264762 0.0000000000 -0.0000000000 
3585.58559 -0.0000267010 0.0000000000 -0.0000000000 
3597.59760 -0.0000269267 0.0000000000 -0.0000000000 
3609.60961 -0.0000271534 0.0000000000 -0.0000000000 
3621.62162 -0.0000273811 0.0000000000 -0.0000000000 
3633.63363 -0.0000276097 0.0000000000 -0.0000000000 
3645.64565 -0.0000278393 0.0000000000 -0.0000000000 
3657.65766 -0.0000280698 0.0000000000 -0.0000000000 
3669.66967 -0.0000283013 0.0000000000 -0.0000000000 
3681.68168 -0.0000285338 0.0000000000 -0.0000000000 
3693.69369 -0.0000287673 0.0000000000 -0.0000000000 
3705.70571 -0.0000290017 0.0000000000 -0.0000000000 
3717.71772 -0.0000292370 0.0000000000 -0.0000000000 
3729.72973 -0.0000294734 0.0000000000 -0.0000000000 
3741.74174 -0.0000297107 0.0000000000 -0.0000000000 
3753.75375 -0.0000299489 0.0000000000 -0.0000000000 
3765.76577 -0.0000301881 0.0000000000 -0.0000000000 
3777.77778 -0.0000304282 0.0000000000 -0.0000000000 
3789.78979 -0.0000306693 0.0000000000 -0.0000000000 
3801.80180 -0.0000309114 0.0000000000 -0.0000000000 
3813.81381 -0.0000311544 0.0000000000 -0.0000000000 
3825.82583 -0.0000313984 0.0000000000 -0.0000000000 
3837.83784 -0.0000316433 0.0000000000 -0.0000000000 
3849.84985 -0.0000318892 0.0000000000 -0.0000000000 
3861.86186 -0.0000321360 0.0000000000 -0.0000000000 
3873.87387 -0.0000323837 0.0000000000 -0.0000000000 
3885.88589 -0.0000326324 0.0000000000 -0.0000000000 
3897.89790 -0.0000328821 0.0000000000 -0.0000000000 
3909.90991 -0.0000331327 0.0000000000 -0.0000000000 
3921.92192 -0.0000333842 0.0000000000 -0.0000000000 
3933.93393 -0.0000336367 0.0000000000 -0.0000000000 
3945.94595 -0.0000338901 0.0000000000 -0.0000000000 
3957.95796 -0.0000341445 0.0000000000 -0.0000000000 
3969.96997 -0.0000343998 0.0000000000 -0.0000000000 
3981.98198 -0.0000346561 0.0000000000 -0.0000000000 
3993.99399 -0.0000349133 0.0000000000 -0.0000000000 
4006.00601 -0.0000351714 0.0000000000 -0.0000000000 
4018.01802 -0.0000354305 0.0000000000 -0.0000000000 
4030.03003 -0.0000356905 0.0000000000 -0.0000000000 
4042.04204 -0.0000359514 0.0000000000 -0.0000000000 
