r         sigmar      sigmatheta   sigmaz  taurtheta    taurz    tauthetaz
2000.00000  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2012.01201  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2024.02402  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2036.03604  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2048.04805  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2060.06006  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2072.07207  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2084.08408  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2096.09610  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2108.10811  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2120.12012  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2132.13213  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2144.14414  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2156.15616  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2168.16817  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2180.18018  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2192.19219  -0.000000  -0.000000   0.000000   0.000000  -0.000000   0.000000 
2204.20420  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2216.21622  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2228.22823  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2240.24024  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2252.25225  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2264.26426  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2276.27628  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2288.28829  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2300.30030  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2312.31231  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2324.32432  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2336.33634  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2348.34835  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2360.36036  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2372.37237  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2384.38438  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2396.39640  -0.000000   0.000000   0.000000   0.000000  -0.000000  -0.000000 
2408.40841   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2420.42042   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2432.43243   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2444.44444   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2456.45646   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2468.46847   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2480.48048   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2492.49249   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2504.50450   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2516.51652   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2528.52853   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2540.54054   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2552.55255   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2564.56456   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2576.57658   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2588.58859   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2600.60060   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2612.61261   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2624.62462   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2636.63664   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2648.64865   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2660.66066   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2672.67267   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2684.68468   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2696.69670   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2708.70871   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2720.72072   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2732.73273   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2744.74474   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2756.75676   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2768.76877   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2780.78078   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2792.79279   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2804.80480   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2816.81682   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2828.82883   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2840.84084   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2852.85285   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2864.86486   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2876.87688   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2888.88889   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2900.90090   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2912.91291   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2924.92492   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2936.93694   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2948.94895   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2960.96096   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2972.97297   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2984.98498   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
2996.99700   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3009.00901   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3021.02102   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3033.03303   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3045.04505   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3057.05706   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3069.06907   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3081.08108   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3093.09309   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3105.10511   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3117.11712   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3129.12913   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3141.14114   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3153.15315   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3165.16517   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3177.17718   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3189.18919   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3201.20120   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3213.21321   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3225.22523   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3237.23724   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3249.24925   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3261.26126   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3273.27327   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3285.28529   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3297.29730   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3309.30931   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3321.32132   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3333.33333   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3345.34535   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3357.35736   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3369.36937   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3381.38138   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3393.39339   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3405.40541   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3417.41742   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3429.42943   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3441.44144   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3453.45345   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3465.46547   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3477.47748   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3489.48949   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3501.50150   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3513.51351   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3525.52553   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3537.53754   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3549.54955   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3561.56156   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3573.57357   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3585.58559   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3597.59760   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3609.60961   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3621.62162   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3633.63363   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3645.64565   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3657.65766   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3669.66967   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3681.68168   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3693.69369   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3705.70571   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3717.71772   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3729.72973   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3741.74174   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3753.75375   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3765.76577   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3777.77778   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3789.78979   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3801.80180   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3813.81381   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3825.82583   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3837.83784   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3849.84985   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3861.86186   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3873.87387   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
3885.88589   0.000000   0.000000   0.000000  -0.000000   0.000000  -0.000000 
