alpha= -90.00 1 Layers    1.421085e-14    2.021224e-17    1.421085e-14    2.021224e-17
alpha= -90.00 2 Layers    3.867217e-12    1.886746e-16    2.728484e-12    1.331178e-16
alpha= -90.00 3 Layers    4.737417e-12    3.266615e-16    4.547474e-12    3.135642e-16
alpha= -90.00 4 Layers    6.886335e-12    2.710703e-16    5.456968e-12    2.148054e-16
alpha= -90.00 5 Layers    3.657290e-12    1.743739e-16    1.818989e-12    8.672657e-17
alpha= -90.00 6 Layers    7.933151e-12    2.679131e-16    5.456968e-12    1.842891e-16
alpha= -90.00 7 Layers    6.261498e-12    2.414882e-16    3.637979e-12    1.403065e-16
alpha= -90.00 8 Layers    7.122593e-12    2.138060e-16    3.637979e-12    1.092048e-16
alpha= -90.00 9 Layers    8.075212e-12    2.683339e-16    3.637979e-12    1.208876e-16
alpha= -90.0010 Layers    8.791677e-12    2.398689e-16    5.456968e-12    1.488859e-16
alpha= -75.00 1 Layers    2.142778e-12    3.158187e-16    1.932676e-12    2.848523e-16
alpha= -75.00 2 Layers    1.639191e-11    2.940635e-16    1.455192e-11    2.610548e-16
alpha= -75.00 3 Layers    2.190983e-11    5.555445e-16    2.182787e-11    5.534663e-16
alpha= -75.00 4 Layers    1.251245e-11    1.819793e-16    7.275958e-12    1.058205e-16
alpha= -75.00 5 Layers    1.178965e-11    2.081919e-16    7.275958e-12    1.284852e-16
alpha= -75.00 6 Layers    1.928304e-11    2.411822e-16    1.455192e-11    1.820078e-16
alpha= -75.00 7 Layers    1.505028e-11    2.154764e-16    7.275958e-12    1.041706e-16
alpha= -75.00 8 Layers    2.365709e-11    2.633743e-16    1.455192e-11    1.620064e-16
alpha= -75.00 9 Layers    2.372828e-11    2.930306e-16    2.182787e-11    2.695616e-16
alpha= -75.0010 Layers    1.732201e-11    1.754406e-16    8.185452e-12    8.290381e-17
alpha= -60.00 1 Layers    9.374857e-13    7.700762e-17    9.094947e-13    7.470837e-17
alpha= -60.00 2 Layers    2.576969e-11    1.303830e-16    1.909939e-11    9.663430e-17
alpha= -60.00 3 Layers    7.493220e-12    5.370382e-17    7.275958e-12    5.214671e-17
alpha= -60.00 4 Layers    3.332811e-11    1.362835e-16    3.092282e-11    1.264479e-16
alpha= -60.00 5 Layers    3.504383e-11    1.739053e-16    2.637535e-11    1.308879e-16
alpha= -60.00 6 Layers    3.806821e-11    1.336644e-16    2.000888e-11    7.025482e-17
alpha= -60.00 7 Layers    4.257580e-11    1.709818e-16    2.819434e-11    1.132267e-16
alpha= -60.00 8 Layers    4.856981e-11    1.516588e-16    3.183231e-11    9.939616e-17
alpha= -60.00 9 Layers    2.927421e-11    1.013138e-16    1.455192e-11    5.036208e-17
alpha= -60.0010 Layers    6.859112e-11    1.947289e-16    4.183676e-11    1.187738e-16
alpha= -45.00 1 Layers    2.083914e-12    8.617721e-17    1.818989e-12    7.522164e-17
alpha= -45.00 2 Layers    1.721457e-11    4.676692e-17    1.682565e-11    4.571033e-17
alpha= -45.00 3 Layers    1.711972e-11    6.079826e-17    1.318767e-11    4.683416e-17
alpha= -45.00 4 Layers    3.232571e-11    6.892123e-17    2.910383e-11    6.205190e-17
alpha= -45.00 5 Layers    1.932106e-11    4.750760e-17    1.455192e-11    3.578098e-17
alpha= -45.00 6 Layers    5.741686e-11    1.036619e-16    4.365575e-11    7.881723e-17
alpha= -45.00 7 Layers    1.940739e-11    3.861681e-17    1.455192e-11    2.895539e-17
alpha= -45.00 8 Layers    3.467242e-11    5.522556e-17    2.546585e-11    4.056151e-17
alpha= -45.00 9 Layers    3.592605e-11    6.160431e-17    2.910383e-11    4.990588e-17
alpha= -45.0010 Layers    7.119308e-11    1.025673e-16    5.820766e-11    8.385927e-17
alpha= -30.00 1 Layers    1.510966e-11    2.061147e-16    1.455192e-11    1.985064e-16
alpha= -30.00 2 Layers    6.985744e-11    6.014813e-17    5.343281e-11    4.600632e-17
alpha= -30.00 3 Layers    6.830461e-11    8.549007e-17    5.820766e-11    7.285272e-17
alpha= -30.00 4 Layers    2.363909e-10    1.659777e-16    2.328306e-10    1.634779e-16
alpha= -30.00 5 Layers    7.938018e-11    6.880723e-17    5.820766e-11    5.045476e-17
alpha= -30.00 6 Layers    8.918910e-11    5.401342e-17    5.820766e-11    3.525088e-17
alpha= -30.00 7 Layers    1.874983e-10    1.315329e-16    1.164153e-10    8.166709e-17
alpha= -30.00 8 Layers    2.923211e-10    1.578524e-16    2.328306e-10    1.257277e-16
alpha= -30.00 9 Layers    2.042430e-10    1.234795e-16    1.164153e-10    7.038139e-17
alpha= -30.0010 Layers    2.619074e-10    1.288128e-16    1.164153e-10    5.725603e-17
alpha= -15.00 1 Layers    4.853669e-11    1.580597e-16    4.729372e-11    1.540120e-16
alpha= -15.00 2 Layers    1.565415e-11    9.593695e-17    1.273293e-11    7.803413e-17
alpha= -15.00 3 Layers    6.989662e-11    2.007746e-16    5.820766e-11    1.671987e-16
alpha= -15.00 4 Layers    2.027590e-11    8.606357e-17    1.455192e-11    6.176740e-17
alpha= -15.00 5 Layers    5.285279e-11    1.361794e-16    2.910383e-11    7.498835e-17
alpha= -15.00 6 Layers    7.541696e-11    2.584141e-16    5.820766e-11    1.994469e-16
alpha= -15.00 7 Layers    5.792353e-11    1.363662e-16    4.365575e-11    1.027764e-16
alpha= -15.00 8 Layers    7.332748e-11    2.161919e-16    5.820766e-11    1.716140e-16
alpha= -15.00 9 Layers    1.024962e-10    2.234842e-16    5.820766e-11    1.269169e-16
alpha= -15.0010 Layers    7.161998e-11    1.880907e-16    2.910383e-11    7.643343e-17
alpha=  0.00 1 Layers    1.818989e-12    2.205438e-17    1.818989e-12    2.205438e-17
alpha=  0.00 2 Layers    7.356204e-12    9.894695e-17    4.585455e-12    6.167812e-17
alpha=  0.00 3 Layers    1.567185e-11    1.244944e-16    1.455192e-11    1.155978e-16
alpha=  0.00 4 Layers    1.522347e-11    1.233308e-16    1.455192e-11    1.178903e-16
alpha=  0.00 5 Layers    8.443546e-12    5.262610e-17    7.275958e-12    4.534887e-17
alpha=  0.00 6 Layers    6.052689e-12    3.811945e-17    3.637979e-12    2.291176e-17
alpha=  0.00 7 Layers    2.140468e-11    1.131915e-16    1.455192e-11    7.695289e-17
alpha=  0.00 8 Layers    2.391662e-11    1.273791e-16    1.455192e-11    7.750299e-17
alpha=  0.00 9 Layers    3.284914e-11    1.534654e-16    2.910383e-11    1.359679e-16
alpha=  0.0010 Layers    2.698132e-11    1.267385e-16    1.455192e-11    6.835426e-17
alpha= 15.00 1 Layers    1.959112e-11    6.379846e-17    1.818989e-11    5.923538e-17
alpha= 15.00 2 Layers    1.863932e-11    1.069943e-16    1.455192e-11    8.353157e-17
alpha= 15.00 3 Layers    4.399549e-11    1.119859e-16    2.910383e-11    7.408072e-17
alpha= 15.00 4 Layers    5.109444e-11    1.659374e-16    2.910383e-11    9.451935e-17
alpha= 15.00 5 Layers    7.126659e-11    1.519261e-16    5.820766e-11    1.240871e-16
alpha= 15.00 6 Layers    4.164885e-11    1.037855e-16    2.910383e-11    7.252435e-17
alpha= 15.00 7 Layers    3.250147e-11    6.071608e-17    2.546585e-11    4.757282e-17
alpha= 15.00 8 Layers    6.845746e-11    1.434597e-16    6.548362e-11    1.372278e-16
alpha= 15.00 9 Layers    8.769640e-11    1.475350e-16    5.820766e-11    9.792500e-17
alpha= 15.0010 Layers    5.506096e-11    1.014518e-16    2.910383e-11    5.362484e-17
alpha= 30.00 1 Layers    5.144879e-12    7.018261e-17    3.637979e-12    4.962660e-17
alpha= 30.00 2 Layers    1.491685e-11    3.546984e-16    1.455192e-11    3.460208e-16
alpha= 30.00 3 Layers    1.979331e-11    2.116314e-16    1.455192e-11    1.555901e-16
alpha= 30.00 4 Layers    7.164171e-12    9.758140e-17    3.637979e-12    4.955201e-17
alpha= 30.00 5 Layers    1.796472e-11    1.610794e-16    7.275958e-12    6.523936e-17
alpha= 30.00 6 Layers    1.904705e-11    1.995487e-16    1.068656e-11    1.119591e-16
alpha= 30.00 7 Layers    2.353173e-11    1.850278e-16    1.455192e-11    1.144204e-16
alpha= 30.00 8 Layers    2.916211e-11    2.571937e-16    1.818989e-11    1.604248e-16
alpha= 30.00 9 Layers    3.215883e-11    2.278190e-16    2.182787e-11    1.546326e-16
alpha= 30.0010 Layers    2.681054e-11    2.080163e-16    2.182787e-11    1.693571e-16
alpha= 45.00 1 Layers    2.046363e-12    8.462434e-17    1.818989e-12    7.522164e-17
alpha= 45.00 2 Layers    3.193376e-12    2.383331e-16    2.728484e-12    2.036366e-16
alpha= 45.00 3 Layers    7.107056e-12    2.332168e-16    4.092726e-12    1.343021e-16
alpha= 45.00 4 Layers    8.064561e-12    3.442727e-16    5.456968e-12    2.329556e-16
alpha= 45.00 5 Layers    5.950960e-12    1.647368e-16    3.637979e-12    1.007079e-16
alpha= 45.00 6 Layers    1.081223e-11    3.549208e-16    5.456968e-12    1.791297e-16
