r         ur            utheta            w
 0.00200 -70.0625078805 0.0000000000 0.0000000000 
 0.00201 -71.8411708092 0.0000000000 0.0000000000 
 0.00202 -73.6408022074 0.0000000000 0.0000000000 
 0.00204 -75.4609448841 0.0000000000 0.0000000000 
 0.00205 -77.3011565385 0.0000000000 0.0000000000 
 0.00206 -79.1610092002 0.0000000000 0.0000000000 
 0.00207 -81.0400886926 0.0000000000 0.0000000000 
 0.00208 -82.9379941199 0.0000000000 0.0000000000 
 0.00210 -84.8543373749 0.0000000000 0.0000000000 
 0.00211 -86.7887426677 0.0000000000 0.0000000000 
 0.00212 -88.7408460742 0.0000000000 0.0000000000 
 0.00213 -90.7102951030 0.0000000000 0.0000000000 
 0.00214 -92.6967482803 0.0000000000 0.0000000000 
 0.00216 -94.6998747516 0.0000000000 0.0000000000 
 0.00217 -96.7193539001 0.0000000000 0.0000000000 
 0.00218 -98.7548749801 0.0000000000 0.0000000000 
 0.00219 -100.8061367656 0.0000000000 0.0000000000 
 0.00220 -102.8728472127 0.0000000000 0.0000000000 
 0.00222 -104.9547231356 0.0000000000 0.0000000000 
 0.00223 -107.0514898958 0.0000000000 0.0000000000 
 0.00224 -109.1628811030 0.0000000000 0.0000000000 
 0.00225 -111.2886383283 0.0000000000 0.0000000000 
 0.00226 -113.4285108287 0.0000000000 0.0000000000 
 0.00228 -115.5822552816 0.0000000000 0.0000000000 
 0.00229 -117.7496355306 0.0000000000 0.0000000000 
 0.00230 -119.9304223405 0.0000000000 0.0000000000 
 0.00231 -122.1243931620 0.0000000000 0.0000000000 
 0.00232 -124.3313319052 0.0000000000 0.0000000000 
 0.00234 -126.5510287218 0.0000000000 0.0000000000 
 0.00235 -128.7832797958 0.0000000000 0.0000000000 
 0.00236 -131.0278871421 0.0000000000 0.0000000000 
 0.00237 -133.2846584120 0.0000000000 0.0000000000 
 0.00238 -135.5534067068 0.0000000000 0.0000000000 
 0.00240 -137.8339503981 0.0000000000 0.0000000000 
 0.00241 -140.1261129546 0.0000000000 0.0000000000 
 0.00242 -142.4297227752 0.0000000000 0.0000000000 
 0.00243 -144.7446130290 0.0000000000 0.0000000000 
 0.00244 -147.0706215001 0.0000000000 0.0000000000 
 0.00246 -149.4075904386 0.0000000000 0.0000000000 
 0.00247 -151.7553664174 0.0000000000 0.0000000000 
 0.00248 -154.1138001931 0.0000000000 0.0000000000 
 0.00249 -156.4827465731 0.0000000000 0.0000000000 
 0.00250 -158.8620642867 0.0000000000 0.0000000000 
 0.00252 -161.2516158610 0.0000000000 0.0000000000 
 0.00253 -163.6512675013 0.0000000000 0.0000000000 
 0.00254 -166.0608889756 0.0000000000 0.0000000000 
 0.00255 -168.4803535033 0.0000000000 0.0000000000 
 0.00256 -170.9095376475 0.0000000000 0.0000000000 
 0.00258 -173.3483212118 0.0000000000 0.0000000000 
 0.00259 -175.7965871397 0.0000000000 0.0000000000 
 0.00260 -178.2542214181 0.0000000000 0.0000000000 
 0.00261 -180.7211129843 0.0000000000 0.0000000000 
 0.00262 -183.1971536355 0.0000000000 0.0000000000 
 0.00264 -185.6822379422 0.0000000000 0.0000000000 
 0.00265 -188.1762631638 0.0000000000 0.0000000000 
 0.00266 -190.6791291676 0.0000000000 0.0000000000 
 0.00267 -193.1907383504 0.0000000000 0.0000000000 
 0.00268 -195.7109955630 0.0000000000 0.0000000000 
 0.00270 -198.2398080362 0.0000000000 0.0000000000 
 0.00271 -200.7770853106 0.0000000000 0.0000000000 
 0.00272 -203.3227391684 0.0000000000 0.0000000000 
 0.00273 -205.8766835664 0.0000000000 0.0000000000 
 0.00274 -208.4388345728 0.0000000000 0.0000000000 
 0.00276 -211.0091103050 0.0000000000 0.0000000000 
 0.00277 -213.5874308698 0.0000000000 0.0000000000 
 0.00278 -216.1737183057 0.0000000000 0.0000000000 
 0.00279 -218.7678965265 0.0000000000 0.0000000000 
 0.00280 -221.3698912677 0.0000000000 0.0000000000 
 0.00282 -223.9796300336 0.0000000000 0.0000000000 
 0.00283 -226.5970420468 0.0000000000 0.0000000000 
 0.00284 -229.2220581990 0.0000000000 0.0000000000 
 0.00285 -231.8546110034 0.0000000000 0.0000000000 
 0.00286 -234.4946345491 0.0000000000 0.0000000000 
 0.00288 -237.1420644560 0.0000000000 0.0000000000 
 0.00289 -239.7968378319 0.0000000000 0.0000000000 
 0.00290 -242.4588932307 0.0000000000 0.0000000000 
