r         ur            utheta            w
2000.00000 -0.0000147562 0.0000000000 0.0000000000 
2012.01201 -0.0000148170 0.0000000000 0.0000000000 
2024.02402 -0.0000148795 0.0000000000 0.0000000000 
2036.03604 -0.0000149438 0.0000000000 0.0000000000 
2048.04805 -0.0000150098 0.0000000000 0.0000000000 
2060.06006 -0.0000150775 0.0000000000 0.0000000000 
2072.07207 -0.0000151468 0.0000000000 0.0000000000 
2084.08408 -0.0000152179 0.0000000000 0.0000000000 
2096.09610 -0.0000152906 0.0000000000 0.0000000000 
2108.10811 -0.0000153649 0.0000000000 0.0000000000 
2120.12012 -0.0000154408 0.0000000000 0.0000000000 
2132.13213 -0.0000155183 0.0000000000 0.0000000000 
2144.14414 -0.0000155973 0.0000000000 0.0000000000 
2156.15616 -0.0000156779 0.0000000000 0.0000000000 
2168.16817 -0.0000157600 0.0000000000 0.0000000000 
2180.18018 -0.0000158437 0.0000000000 0.0000000000 
2192.19219 -0.0000159288 0.0000000000 0.0000000000 
2204.20420 -0.0000160154 0.0000000000 0.0000000000 
2216.21622 -0.0000161035 0.0000000000 0.0000000000 
2228.22823 -0.0000161931 0.0000000000 0.0000000000 
2240.24024 -0.0000162840 0.0000000000 0.0000000000 
2252.25225 -0.0000163764 0.0000000000 0.0000000000 
2264.26426 -0.0000164702 0.0000000000 0.0000000000 
2276.27628 -0.0000165654 0.0000000000 0.0000000000 
2288.28829 -0.0000166620 0.0000000000 0.0000000000 
2300.30030 -0.0000167599 0.0000000000 0.0000000000 
2312.31231 -0.0000168592 0.0000000000 0.0000000000 
2324.32432 -0.0000169599 0.0000000000 0.0000000000 
2336.33634 -0.0000170619 0.0000000000 0.0000000000 
2348.34835 -0.0000171651 0.0000000000 0.0000000000 
2360.36036 -0.0000172697 0.0000000000 0.0000000000 
2372.37237 -0.0000173756 0.0000000000 0.0000000000 
2384.38438 -0.0000174828 0.0000000000 0.0000000000 
2396.39640 -0.0000175913 0.0000000000 0.0000000000 
2408.40841 -0.0000177010 0.0000000000 0.0000000000 
2420.42042 -0.0000178120 0.0000000000 0.0000000000 
2432.43243 -0.0000179242 0.0000000000 0.0000000000 
2444.44444 -0.0000180376 0.0000000000 0.0000000000 
2456.45646 -0.0000181523 0.0000000000 0.0000000000 
2468.46847 -0.0000182682 0.0000000000 0.0000000000 
2480.48048 -0.0000183853 0.0000000000 0.0000000000 
2492.49249 -0.0000185036 0.0000000000 0.0000000000 
2504.50450 -0.0000186231 0.0000000000 0.0000000000 
2516.51652 -0.0000187437 0.0000000000 0.0000000000 
2528.52853 -0.0000188656 0.0000000000 0.0000000000 
2540.54054 -0.0000189886 0.0000000000 0.0000000000 
2552.55255 -0.0000191127 0.0000000000 0.0000000000 
2564.56456 -0.0000192380 0.0000000000 0.0000000000 
2576.57658 -0.0000193645 0.0000000000 0.0000000000 
2588.58859 -0.0000194921 0.0000000000 0.0000000000 
2600.60060 -0.0000196208 0.0000000000 0.0000000000 
2612.61261 -0.0000197506 0.0000000000 0.0000000000 
2624.62462 -0.0000198815 0.0000000000 0.0000000000 
2636.63664 -0.0000200136 0.0000000000 0.0000000000 
2648.64865 -0.0000201467 0.0000000000 0.0000000000 
2660.66066 -0.0000202810 0.0000000000 0.0000000000 
2672.67267 -0.0000204163 0.0000000000 0.0000000000 
2684.68468 -0.0000205527 0.0000000000 0.0000000000 
2696.69670 -0.0000206902 0.0000000000 0.0000000000 
2708.70871 -0.0000208287 0.0000000000 0.0000000000 
2720.72072 -0.0000209684 0.0000000000 0.0000000000 
2732.73273 -0.0000211090 0.0000000000 0.0000000000 
2744.74474 -0.0000212507 0.0000000000 0.0000000000 
2756.75676 -0.0000213935 0.0000000000 0.0000000000 
2768.76877 -0.0000215373 0.0000000000 0.0000000000 
2780.78078 -0.0000216822 0.0000000000 0.0000000000 
2792.79279 -0.0000218280 0.0000000000 0.0000000000 
2804.80480 -0.0000219749 0.0000000000 0.0000000000 
2816.81682 -0.0000221228 0.0000000000 0.0000000000 
2828.82883 -0.0000222718 0.0000000000 0.0000000000 
2840.84084 -0.0000224217 0.0000000000 0.0000000000 
2852.85285 -0.0000225727 0.0000000000 0.0000000000 
2864.86486 -0.0000227246 0.0000000000 0.0000000000 
2876.87688 -0.0000228775 0.0000000000 0.0000000000 
2888.88889 -0.0000230315 0.0000000000 0.0000000000 
2900.90090 -0.0000231864 0.0000000000 0.0000000000 
2912.91291 -0.0000233423 0.0000000000 0.0000000000 
2924.92492 -0.0000234992 0.0000000000 0.0000000000 
2936.93694 -0.0000236570 0.0000000000 0.0000000000 
2948.94895 -0.0000238159 0.0000000000 0.0000000000 
2960.96096 -0.0000239757 0.0000000000 0.0000000000 
2972.97297 -0.0000241364 0.0000000000 0.0000000000 
2984.98498 -0.0000242981 0.0000000000 0.0000000000 
2996.99700 -0.0000244608 0.0000000000 0.0000000000 
3009.00901 -0.0000246244 0.0000000000 0.0000000000 
3021.02102 -0.0000247890 0.0000000000 0.0000000000 
3033.03303 -0.0000249545 0.0000000000 0.0000000000 
3045.04505 -0.0000251210 0.0000000000 0.0000000000 
3057.05706 -0.0000252884 0.0000000000 0.0000000000 
3069.06907 -0.0000254567 0.0000000000 0.0000000000 
3081.08108 -0.0000256260 0.0000000000 0.0000000000 
3093.09309 -0.0000257962 0.0000000000 0.0000000000 
3105.10511 -0.0000259673 0.0000000000 0.0000000000 
3117.11712 -0.0000261393 0.0000000000 0.0000000000 
3129.12913 -0.0000263123 0.0000000000 0.0000000000 
3141.14114 -0.0000264862 0.0000000000 0.0000000000 
3153.15315 -0.0000266610 0.0000000000 0.0000000000 
3165.16517 -0.0000268367 0.0000000000 0.0000000000 
3177.17718 -0.0000270133 0.0000000000 0.0000000000 
3189.18919 -0.0000271908 0.0000000000 0.0000000000 
3201.20120 -0.0000273692 0.0000000000 0.0000000000 
3213.21321 -0.0000275485 0.0000000000 0.0000000000 
3225.22523 -0.0000277287 0.0000000000 0.0000000000 
3237.23724 -0.0000279098 0.0000000000 0.0000000000 
3249.24925 -0.0000280917 0.0000000000 0.0000000000 
3261.26126 -0.0000282746 0.0000000000 0.0000000000 
3273.27327 -0.0000284584 0.0000000000 0.0000000000 
3285.28529 -0.0000286430 0.0000000000 0.0000000000 
3297.29730 -0.0000288285 0.0000000000 0.0000000000 
3309.30931 -0.0000290149 0.0000000000 0.0000000000 
3321.32132 -0.0000292022 0.0000000000 0.0000000000 
3333.33333 -0.0000293903 0.0000000000 0.0000000000 
3345.34535 -0.0000295793 0.0000000000 0.0000000000 
3357.35736 -0.0000297692 0.0000000000 0.0000000000 
3369.36937 -0.0000299600 0.0000000000 0.0000000000 
3381.38138 -0.0000301516 0.0000000000 0.0000000000 
3393.39339 -0.0000303441 0.0000000000 0.0000000000 
3405.40541 -0.0000305374 0.0000000000 0.0000000000 
3417.41742 -0.0000307316 0.0000000000 0.0000000000 
3429.42943 -0.0000309266 0.0000000000 0.0000000000 
3441.44144 -0.0000311225 0.0000000000 0.0000000000 
3453.45345 -0.0000313193 0.0000000000 0.0000000000 
3465.46547 -0.0000315169 0.0000000000 0.0000000000 
3477.47748 -0.0000317153 0.0000000000 0.0000000000 
3489.48949 -0.0000319146 0.0000000000 0.0000000000 
3501.50150 -0.0000321148 0.0000000000 0.0000000000 
3513.51351 -0.0000323158 0.0000000000 0.0000000000 
3525.52553 -0.0000325176 0.0000000000 0.0000000000 
