r         ur            utheta            w
2000.00000 -0.0000039096 0.0000000000 -0.0000000000 
2012.01201 -0.0000039557 0.0000000000 -0.0000000000 
2024.02402 -0.0000040021 0.0000000000 -0.0000000000 
2036.03604 -0.0000040488 0.0000000000 -0.0000000000 
2048.04805 -0.0000040958 0.0000000000 -0.0000000000 
2060.06006 -0.0000041430 0.0000000000 -0.0000000000 
2072.07207 -0.0000041906 0.0000000000 -0.0000000000 
2084.08408 -0.0000042384 0.0000000000 -0.0000000000 
2096.09610 -0.0000042864 0.0000000000 -0.0000000000 
2108.10811 -0.0000043348 0.0000000000 -0.0000000000 
2120.12012 -0.0000043833 0.0000000000 -0.0000000000 
2132.13213 -0.0000044322 0.0000000000 -0.0000000000 
2144.14414 -0.0000044813 0.0000000000 -0.0000000000 
2156.15616 -0.0000045307 0.0000000000 -0.0000000000 
2168.16817 -0.0000045803 0.0000000000 -0.0000000000 
2180.18018 -0.0000046302 0.0000000000 -0.0000000000 
2192.19219 -0.0000046803 0.0000000000 -0.0000000000 
2204.20420 -0.0000047306 0.0000000000 -0.0000000000 
2216.21622 -0.0000047812 0.0000000000 -0.0000000000 
2228.22823 -0.0000048321 0.0000000000 -0.0000000000 
2240.24024 -0.0000048832 0.0000000000 -0.0000000000 
2252.25225 -0.0000049345 0.0000000000 -0.0000000000 
2264.26426 -0.0000049860 0.0000000000 -0.0000000000 
2276.27628 -0.0000050378 0.0000000000 -0.0000000000 
2288.28829 -0.0000050898 0.0000000000 -0.0000000000 
2300.30030 -0.0000051421 0.0000000000 -0.0000000000 
2312.31231 -0.0000051946 0.0000000000 -0.0000000000 
2324.32432 -0.0000052473 0.0000000000 -0.0000000000 
2336.33634 -0.0000053002 0.0000000000 -0.0000000000 
2348.34835 -0.0000053533 0.0000000000 -0.0000000000 
2360.36036 -0.0000054067 0.0000000000 -0.0000000000 
2372.37237 -0.0000054602 0.0000000000 -0.0000000000 
2384.38438 -0.0000055140 0.0000000000 -0.0000000000 
2396.39640 -0.0000055680 0.0000000000 -0.0000000000 
2408.40841 -0.0000056222 0.0000000000 -0.0000000000 
2420.42042 -0.0000056766 0.0000000000 -0.0000000000 
