r         ur            utheta            w
2000.00000 -0.0000062350 0.0000000000 -0.0000000000 
2012.01201 -0.0000062704 0.0000000000 -0.0000000000 
2024.02402 -0.0000063081 0.0000000000 -0.0000000000 
2036.03604 -0.0000063482 0.0000000000 -0.0000000000 
2048.04805 -0.0000063906 0.0000000000 -0.0000000000 
2060.06006 -0.0000064352 0.0000000000 -0.0000000000 
2072.07207 -0.0000064821 0.0000000000 -0.0000000000 
2084.08408 -0.0000065312 0.0000000000 -0.0000000000 
2096.09610 -0.0000065825 0.0000000000 -0.0000000000 
2108.10811 -0.0000066359 0.0000000000 -0.0000000000 
2120.12012 -0.0000066914 0.0000000000 -0.0000000000 
2132.13213 -0.0000067490 0.0000000000 -0.0000000000 
2144.14414 -0.0000068086 0.0000000000 -0.0000000000 
2156.15616 -0.0000068702 0.0000000000 -0.0000000000 
2168.16817 -0.0000069339 0.0000000000 -0.0000000000 
2180.18018 -0.0000069995 0.0000000000 -0.0000000000 
2192.19219 -0.0000070671 0.0000000000 -0.0000000000 
2204.20420 -0.0000071366 0.0000000000 -0.0000000000 
2216.21622 -0.0000072080 0.0000000000 -0.0000000000 
2228.22823 -0.0000072812 0.0000000000 -0.0000000000 
2240.24024 -0.0000073563 0.0000000000 -0.0000000000 
2252.25225 -0.0000074333 0.0000000000 -0.0000000000 
2264.26426 -0.0000075120 0.0000000000 -0.0000000000 
2276.27628 -0.0000075926 0.0000000000 -0.0000000000 
2288.28829 -0.0000076749 0.0000000000 -0.0000000000 
2300.30030 -0.0000077590 0.0000000000 -0.0000000000 
2312.31231 -0.0000078448 0.0000000000 -0.0000000000 
2324.32432 -0.0000079323 0.0000000000 -0.0000000000 
2336.33634 -0.0000080215 0.0000000000 -0.0000000000 
2348.34835 -0.0000081124 0.0000000000 -0.0000000000 
2360.36036 -0.0000082050 0.0000000000 -0.0000000000 
2372.37237 -0.0000082992 0.0000000000 -0.0000000000 
2384.38438 -0.0000083950 0.0000000000 -0.0000000000 
2396.39640 -0.0000084925 0.0000000000 -0.0000000000 
2408.40841 -0.0000085915 0.0000000000 -0.0000000000 
2420.42042 -0.0000086922 0.0000000000 -0.0000000000 
2432.43243 -0.0000087944 0.0000000000 -0.0000000000 
2444.44444 -0.0000088982 0.0000000000 -0.0000000000 
2456.45646 -0.0000090035 0.0000000000 -0.0000000000 
2468.46847 -0.0000091103 0.0000000000 -0.0000000000 
2480.48048 -0.0000092187 0.0000000000 -0.0000000000 
2492.49249 -0.0000093286 0.0000000000 -0.0000000000 
2504.50450 -0.0000094400 0.0000000000 -0.0000000000 
2516.51652 -0.0000095529 0.0000000000 -0.0000000000 
2528.52853 -0.0000096672 0.0000000000 -0.0000000000 
2540.54054 -0.0000097830 0.0000000000 -0.0000000000 
2552.55255 -0.0000099003 0.0000000000 -0.0000000000 
2564.56456 -0.0000100190 0.0000000000 -0.0000000000 
2576.57658 -0.0000101391 0.0000000000 -0.0000000000 
2588.58859 -0.0000102606 0.0000000000 -0.0000000000 
2600.60060 -0.0000103836 0.0000000000 -0.0000000000 
2612.61261 -0.0000105080 0.0000000000 -0.0000000000 
2624.62462 -0.0000106337 0.0000000000 -0.0000000000 
2636.63664 -0.0000107609 0.0000000000 -0.0000000000 
2648.64865 -0.0000108894 0.0000000000 -0.0000000000 
2660.66066 -0.0000110193 0.0000000000 -0.0000000000 
2672.67267 -0.0000111505 0.0000000000 -0.0000000000 
2684.68468 -0.0000112831 0.0000000000 -0.0000000000 
2696.69670 -0.0000114170 0.0000000000 -0.0000000000 
2708.70871 -0.0000115523 0.0000000000 -0.0000000000 
2720.72072 -0.0000116889 0.0000000000 -0.0000000000 
2732.73273 -0.0000118268 0.0000000000 -0.0000000000 
2744.74474 -0.0000119660 0.0000000000 -0.0000000000 
2756.75676 -0.0000121066 0.0000000000 -0.0000000000 
2768.76877 -0.0000122484 0.0000000000 -0.0000000000 
2780.78078 -0.0000123915 0.0000000000 -0.0000000000 
2792.79279 -0.0000125359 0.0000000000 -0.0000000000 
2804.80480 -0.0000126816 0.0000000000 -0.0000000000 
2816.81682 -0.0000128286 0.0000000000 -0.0000000000 
2828.82883 -0.0000129768 0.0000000000 -0.0000000000 
2840.84084 -0.0000131263 0.0000000000 -0.0000000000 
2852.85285 -0.0000132770 0.0000000000 -0.0000000000 
2864.86486 -0.0000134290 0.0000000000 -0.0000000000 
2876.87688 -0.0000135823 0.0000000000 -0.0000000000 
2888.88889 -0.0000137367 0.0000000000 -0.0000000000 
2900.90090 -0.0000138924 0.0000000000 -0.0000000000 
2912.91291 -0.0000140494 0.0000000000 -0.0000000000 
2924.92492 -0.0000142075 0.0000000000 -0.0000000000 
2936.93694 -0.0000143669 0.0000000000 -0.0000000000 
2948.94895 -0.0000145275 0.0000000000 -0.0000000000 
2960.96096 -0.0000146893 0.0000000000 -0.0000000000 
2972.97297 -0.0000148523 0.0000000000 -0.0000000000 
2984.98498 -0.0000150164 0.0000000000 -0.0000000000 
2996.99700 -0.0000151818 0.0000000000 -0.0000000000 
3009.00901 -0.0000153484 0.0000000000 -0.0000000000 
3021.02102 -0.0000155162 0.0000000000 -0.0000000000 
3033.03303 -0.0000156851 0.0000000000 -0.0000000000 
3045.04505 -0.0000158552 0.0000000000 -0.0000000000 
3057.05706 -0.0000160265 0.0000000000 -0.0000000000 
3069.06907 -0.0000161990 0.0000000000 -0.0000000000 
3081.08108 -0.0000163726 0.0000000000 -0.0000000000 
3093.09309 -0.0000165474 0.0000000000 -0.0000000000 
3105.10511 -0.0000167234 0.0000000000 -0.0000000000 
3117.11712 -0.0000169005 0.0000000000 -0.0000000000 
3129.12913 -0.0000170787 0.0000000000 -0.0000000000 
3141.14114 -0.0000172581 0.0000000000 -0.0000000000 
3153.15315 -0.0000174387 0.0000000000 -0.0000000000 
3165.16517 -0.0000176204 0.0000000000 -0.0000000000 
3177.17718 -0.0000178032 0.0000000000 -0.0000000000 
3189.18919 -0.0000179872 0.0000000000 -0.0000000000 
3201.20120 -0.0000181723 0.0000000000 -0.0000000000 
3213.21321 -0.0000183585 0.0000000000 -0.0000000000 
3225.22523 -0.0000185458 0.0000000000 -0.0000000000 
3237.23724 -0.0000187343 0.0000000000 -0.0000000000 
3249.24925 -0.0000189239 0.0000000000 -0.0000000000 
3261.26126 -0.0000191146 0.0000000000 -0.0000000000 
3273.27327 -0.0000193064 0.0000000000 -0.0000000000 
3285.28529 -0.0000194993 0.0000000000 -0.0000000000 
3297.29730 -0.0000196934 0.0000000000 -0.0000000000 
3309.30931 -0.0000198885 0.0000000000 -0.0000000000 
3321.32132 -0.0000200847 0.0000000000 -0.0000000000 
3333.33333 -0.0000202821 0.0000000000 -0.0000000000 
3345.34535 -0.0000204805 0.0000000000 -0.0000000000 
3357.35736 -0.0000206801 0.0000000000 -0.0000000000 
3369.36937 -0.0000208807 0.0000000000 -0.0000000000 
3381.38138 -0.0000210824 0.0000000000 -0.0000000000 
3393.39339 -0.0000212853 0.0000000000 -0.0000000000 
3405.40541 -0.0000214892 0.0000000000 -0.0000000000 
3417.41742 -0.0000216941 0.0000000000 -0.0000000000 
3429.42943 -0.0000219002 0.0000000000 -0.0000000000 
3441.44144 -0.0000221074 0.0000000000 -0.0000000000 
3453.45345 -0.0000223156 0.0000000000 -0.0000000000 
3465.46547 -0.0000225249 0.0000000000 -0.0000000000 
3477.47748 -0.0000227353 0.0000000000 -0.0000000000 
3489.48949 -0.0000229467 0.0000000000 -0.0000000000 
3501.50150 -0.0000231592 0.0000000000 -0.0000000000 
3513.51351 -0.0000233728 0.0000000000 -0.0000000000 
3525.52553 -0.0000235875 0.0000000000 -0.0000000000 
3537.53754 -0.0000238032 0.0000000000 -0.0000000000 
3549.54955 -0.0000240200 0.0000000000 -0.0000000000 
3561.56156 -0.0000242378 0.0000000000 -0.0000000000 
3573.57357 -0.0000244567 0.0000000000 -0.0000000000 
3585.58559 -0.0000246766 0.0000000000 -0.0000000000 
3597.59760 -0.0000248977 0.0000000000 -0.0000000000 
3609.60961 -0.0000251197 0.0000000000 -0.0000000000 
3621.62162 -0.0000253428 0.0000000000 -0.0000000000 
3633.63363 -0.0000255670 0.0000000000 -0.0000000000 
3645.64565 -0.0000257922 0.0000000000 -0.0000000000 
3657.65766 -0.0000260185 0.0000000000 -0.0000000000 
3669.66967 -0.0000262458 0.0000000000 -0.0000000000 
3681.68168 -0.0000264741 0.0000000000 -0.0000000000 
3693.69369 -0.0000267035 0.0000000000 -0.0000000000 
3705.70571 -0.0000269340 0.0000000000 -0.0000000000 
3717.71772 -0.0000271654 0.0000000000 -0.0000000000 
3729.72973 -0.0000273979 0.0000000000 -0.0000000000 
3741.74174 -0.0000276315 0.0000000000 -0.0000000000 
3753.75375 -0.0000278661 0.0000000000 -0.0000000000 
3765.76577 -0.0000281017 0.0000000000 -0.0000000000 
3777.77778 -0.0000283384 0.0000000000 -0.0000000000 
3789.78979 -0.0000285760 0.0000000000 -0.0000000000 
3801.80180 -0.0000288148 0.0000000000 -0.0000000000 
3813.81381 -0.0000290545 0.0000000000 -0.0000000000 
3825.82583 -0.0000292953 0.0000000000 -0.0000000000 
3837.83784 -0.0000295371 0.0000000000 -0.0000000000 
3849.84985 -0.0000297799 0.0000000000 -0.0000000000 
3861.86186 -0.0000300237 0.0000000000 -0.0000000000 
3873.87387 -0.0000302686 0.0000000000 -0.0000000000 
3885.88589 -0.0000305145 0.0000000000 -0.0000000000 
3897.89790 -0.0000307614 0.0000000000 -0.0000000000 
3909.90991 -0.0000310093 0.0000000000 -0.0000000000 
3921.92192 -0.0000312583 0.0000000000 -0.0000000000 
3933.93393 -0.0000315082 0.0000000000 -0.0000000000 
3945.94595 -0.0000317592 0.0000000000 -0.0000000000 
3957.95796 -0.0000320112 0.0000000000 -0.0000000000 
3969.96997 -0.0000322642 0.0000000000 -0.0000000000 
3981.98198 -0.0000325183 0.0000000000 -0.0000000000 
3993.99399 -0.0000327733 0.0000000000 -0.0000000000 
4006.00601 -0.0000330293 0.0000000000 -0.0000000000 
4018.01802 -0.0000332864 0.0000000000 -0.0000000000 
4030.03003 -0.0000335444 0.0000000000 -0.0000000000 
4042.04204 -0.0000338035 0.0000000000 -0.0000000000 
4054.05405 -0.0000340636 0.0000000000 -0.0000000000 
4066.06607 -0.0000343247 0.0000000000 -0.0000000000 
4078.07808 -0.0000345868 0.0000000000 -0.0000000000 
4090.09009 -0.0000348499 0.0000000000 -0.0000000000 
4102.10210 -0.0000351140 0.0000000000 -0.0000000000 
4114.11411 -0.0000353790 0.0000000000 -0.0000000000 
4126.12613 -0.0000356451 0.0000000000 -0.0000000000 
4138.13814 -0.0000359122 0.0000000000 -0.0000000000 
4150.15015 -0.0000361803 0.0000000000 -0.0000000000 
4162.16216 -0.0000364494 0.0000000000 -0.0000000000 
4174.17417 -0.0000367195 0.0000000000 -0.0000000000 
4186.18619 -0.0000369906 0.0000000000 -0.0000000000 
4198.19820 -0.0000372627 0.0000000000 -0.0000000000 
4210.21021 -0.0000375358 0.0000000000 -0.0000000000 
4222.22222 -0.0000378098 0.0000000000 -0.0000000000 
4234.23423 -0.0000380849 0.0000000000 -0.0000000000 
4246.24625 -0.0000383610 0.0000000000 -0.0000000000 
4258.25826 -0.0000386380 0.0000000000 -0.0000000000 
4270.27027 -0.0000389161 0.0000000000 -0.0000000000 
4282.28228 -0.0000391951 0.0000000000 -0.0000000000 
4294.29429 -0.0000394751 0.0000000000 -0.0000000000 
4306.30631 -0.0000397561 0.0000000000 -0.0000000000 
4318.31832 -0.0000400381 0.0000000000 -0.0000000000 
4330.33033 -0.0000403211 0.0000000000 -0.0000000000 
4342.34234 -0.0000406051 0.0000000000 -0.0000000000 
4354.35435 -0.0000408900 0.0000000000 -0.0000000000 
4366.36637 -0.0000411760 0.0000000000 -0.0000000000 
4378.37838 -0.0000414629 0.0000000000 -0.0000000000 
4390.39039 -0.0000417508 0.0000000000 -0.0000000000 
4402.40240 -0.0000420397 0.0000000000 -0.0000000000 
4414.41441 -0.0000423296 0.0000000000 -0.0000000000 
4426.42643 -0.0000426204 0.0000000000 -0.0000000000 
4438.43844 -0.0000429123 0.0000000000 -0.0000000000 
4450.45045 -0.0000432051 0.0000000000 -0.0000000000 
4462.46246 -0.0000434989 0.0000000000 -0.0000000000 
4474.47447 -0.0000437937 0.0000000000 -0.0000000000 
4486.48649 -0.0000440894 0.0000000000 -0.0000000000 
4498.49850 -0.0000443862 0.0000000000 -0.0000000000 
4510.51051 -0.0000446839 0.0000000000 -0.0000000000 
4522.52252 -0.0000449826 0.0000000000 -0.0000000000 
4534.53453 -0.0000452822 0.0000000000 -0.0000000000 
4546.54655 -0.0000455828 0.0000000000 -0.0000000000 
4558.55856 -0.0000458845 0.0000000000 -0.0000000000 
4570.57057 -0.0000461870 0.0000000000 -0.0000000000 
4582.58258 -0.0000464906 0.0000000000 -0.0000000000 
4594.59459 -0.0000467951 0.0000000000 -0.0000000000 
4606.60661 -0.0000471006 0.0000000000 -0.0000000000 
4618.61862 -0.0000474071 0.0000000000 -0.0000000000 
4630.63063 -0.0000477145 0.0000000000 -0.0000000000 
4642.64264 -0.0000480230 0.0000000000 -0.0000000000 
4654.65465 -0.0000483323 0.0000000000 -0.0000000000 
4666.66667 -0.0000486427 0.0000000000 -0.0000000000 
4678.67868 -0.0000489540 0.0000000000 -0.0000000000 
4690.69069 -0.0000492663 0.0000000000 -0.0000000000 
4702.70270 -0.0000495796 0.0000000000 -0.0000000000 
4714.71471 -0.0000498938 0.0000000000 -0.0000000000 
4726.72673 -0.0000502090 0.0000000000 -0.0000000000 
4738.73874 -0.0000505251 0.0000000000 -0.0000000000 
4750.75075 -0.0000508422 0.0000000000 -0.0000000000 
4762.76276 -0.0000511603 0.0000000000 -0.0000000000 
4774.77477 -0.0000514794 0.0000000000 -0.0000000000 
4786.78679 -0.0000517994 0.0000000000 -0.0000000000 
4798.79880 -0.0000521204 0.0000000000 -0.0000000000 
4810.81081 -0.0000524423 0.0000000000 -0.0000000000 
4822.82282 -0.0000527652 0.0000000000 -0.0000000000 
4834.83483 -0.0000530891 0.0000000000 -0.0000000000 
